Models,P_base isHate Hal,P_base isHate F1,P_base isHate IAA,P_base United_States_Hate Hal,P_base United_States_Hate F1,P_base United_States_Hate IAA,P_base Australia_Hate Hal,P_base Australia_Hate F1,P_base Australia_Hate IAA,P_base United_Kingdom_Hate Hal,P_base United_Kingdom_Hate F1,P_base United_Kingdom_Hate IAA,P_base South_Africa_Hate Hal,P_base South_Africa_Hate F1,P_base South_Africa_Hate IAA,P_base Singapore_Hate Hal,P_base Singapore_Hate F1,P_base Singapore_Hate IAA,P1 United_States_Hate Hal,P1 United_States_Hate F1,P1 United_States_Hate IAA,P2 Australia_Hate Hal,P2 Australia_Hate F1,P2 Australia_Hate IAA,P3 United_Kingdom_Hate Hal,P3 United_Kingdom_Hate F1,P3 United_Kingdom_Hate IAA,P4 South_Africa_Hate Hal,P4 South_Africa_Hate F1,P4 South_Africa_Hate IAA,P5 Singapore_Hate Hal,P5 Singapore_Hate F1,P5 Singapore_Hate IAA
1,2,0.3913812360387194,0.0,2,0.4519007370613683,0.0,2,0.3614147554863715,0.0,2,0.3891636250679505,0.0,2,0.4122635528925789,0.0,2,0.3499245588679065,0.0,2.0,0.4519007370613683,0.0,4.0,0.360271706780027,0.0,4.0,0.3887434039332774,0.0,2.0,0.4122635528925789,0.0,4.0,0.34950278820261643,0.0
2,156,0.5360116206681885,0.1656033858929334,156,0.5622906683655099,0.1839155946393326,156,0.5066674262869411,0.1223252951603494,156,0.5285990599002154,0.1554022993718373,156,0.5316044556301988,0.1441134892610388,156,0.5170088807366108,0.1483192639346281,25.0,0.5935591367553215,0.1783280996764261,11.0,0.5624973620132763,0.1329081261748575,22.0,0.5932596865538253,0.1911642144174921,13.0,0.5919406930045523,0.1725787865354408,11.0,0.587255469196024,0.18698940406886447
3,572,0.4105494936374286,0.1868560162299625,572,0.4020532464610243,0.1738907593055842,572,0.3933178897438019,0.1507556675062972,572,0.4042338758288125,0.174719701607097,572,0.3936147083579579,0.1548928919182083,572,0.4022408294998384,0.1670492705048579,618.0,0.3675752954457359,0.1609825715408729,767.0,0.3178652745641148,0.1296184813020859,658.0,0.3697303382785102,0.1694183310859673,742.0,0.3162782074540023,0.1298892879712545,723.0,0.34016042312516587,0.1396694950506893
4,4,0.6384008002479606,0.2914548685627706,4,0.6135240665577517,0.2472382005116785,4,0.6236980619288843,0.2587606829998152,4,0.6275442343953255,0.2698615383724841,4,0.6182532322675062,0.2538601325320166,4,0.6343364194828951,0.277928140593869,16.0,0.6095192238265353,0.2619625765350156,10.0,0.6313857659322337,0.2848859059791671,21.0,0.623482148338946,0.2805257172092463,7.0,0.625686777850914,0.280204168483919,18.0,0.6268173149508849,0.2779730636105071
5,0,0.6487417625935867,0.297390820807777,0,0.6616525765899742,0.2866360642860399,0,0.6078336276844919,0.2342404296427285,0,0.6361186030753846,0.2734696880517951,0,0.6493604979560809,0.2862101705989852,0,0.6289603450186424,0.2819161023496794,0.0,0.684520145843254,0.3347177035494973,0.0,0.628435417959449,0.2714131536776009,0.0,0.6481021234218959,0.2958907767800514,0.0,0.6835506514969991,0.3540878821016139,0.0,0.6452889002063932,0.30951670547638666
6,198,0.5676786954299108,0.303205580109658,198,0.5307488957823688,0.255310396768428,198,0.5551637408211861,0.2680378688074858,198,0.5547080769280738,0.2807202582117379,198,0.5363387235161371,0.2525010893840322,198,0.568900782818953,0.2919849314697119,171.0,0.4892550382467704,0.2178295994232176,202.0,0.5102594353262315,0.2156457989739401,174.0,0.5371608511355092,0.2609650409770266,169.0,0.4588370869193576,0.1787522072871473,230.0,0.5320079660972066,0.2592257857225837
7,560,0.3227561863015206,0.1018949703416664,560,0.2787087802077441,0.0642326868596304,560,0.3247305790804513,0.0928126002815142,560,0.3201119281499153,0.0998440827371622,560,0.3074607436311936,0.0876538096773454,560,0.3406895183245466,0.1121387866256493,584.0,0.3724125053379893,0.1689039028707819,607.0,0.3611943397055033,0.1455895860017654,698.0,0.3411513146460236,0.1559045716337073,554.0,0.3571319892372586,0.1341011007338448,688.0,0.33678239060944964,0.1470310411290506
8,679,0.3573067393273398,0.1500502582544685,679,0.3598084841550258,0.156995179764487,679,0.3538748766808752,0.1422941112867974,679,0.3461131092257092,0.1284942172711295,679,0.3622053882121369,0.1606856409482432,679,0.3562514978355033,0.145933607313429,,,,,,,,,,,,,,,
