Models,P1_1 IAA,P1_1 HS,P1_2 IAA,P1_2 HS,P1_3 IAA,P1_3 HS,P1_4 IAA,P1_4 HS,P1_5 IAA,P1_5 HS,P1_6 IAA,P1_6 HS,P1_7 IAA,P1_7 HS,P1_8 IAA,P1_8 HS,P1_9 IAA,P1_9 HS,P1_10 IAA,P1_10 HS,P1_11 IAA,P1_11 HS,P1_12 IAA,P1_12 HS,P1_13 IAA,P1_13 HS,P1_14 IAA,P1_14 HS,P1_15 IAA,P1_15 HS,P1_16 IAA,P1_16 HS,P1_17 IAA,P1_17 HS,P1_18 IAA,P1_18 HS,P1_19 IAA,P1_19 HS,P1_20 IAA,P1_20 HS,P1_21 IAA,P1_21 HS,P1_22 IAA,P1_22 HS,P1_23 IAA,P1_23 HS,P2_1 IAA,P2_1 HS,P2_2 IAA,P2_2 HS,P2_3 IAA,P2_3 HS,P2_4 IAA,P2_4 HS,P2_5 IAA,P2_5 HS,P2_6 IAA,P2_6 HS,P2_7 IAA,P2_7 HS,P2_8 IAA,P2_8 HS,P2_9 IAA,P2_9 HS,P2_10 IAA,P2_10 HS,P2_11 IAA,P2_11 HS,P2_12 IAA,P2_12 HS,P2_13 IAA,P2_13 HS,P2_14 IAA,P2_14 HS,P2_15 IAA,P2_15 HS,P2_16 IAA,P2_16 HS,P2_17 IAA,P2_17 HS,P2_18 IAA,P2_18 HS,P2_19 IAA,P2_19 HS,P2_20 IAA,P2_20 HS,P2_21 IAA,P2_21 HS,P2_22 IAA,P2_22 HS,P2_23 IAA,P2_23 HS
1,-0.0045932231049092,0.0107663077897403,0.0029857607157124,0.0069664344521849,-0.0020576314969047,0.0094936708860759,0.0014351537547314,0.006333122229259,-0.0117803620933777,0.0284990500316656,-0.004003125606298,0.0132911392405063,-0.0030433083740959,0.0113996200126662,-0.0084646169765263,0.0183544303797468,-0.0045932231049092,0.0107663077897403,-0.0068280335987766,0.0132995566814439,-0.005855118744311,0.0113996200126662,-0.0138071493768864,0.0196326789107029,-0.0282924563014193,0.0297656744775174,-0.0376864173863536,0.0614312856238125,-0.0049907193653842,0.0151994933502216,-0.0128386270690208,0.0177327422419252,-0.0014795717610109,0.0120253164556962,-0.0037958171482853,0.0019011406844106,-0.0040174326987587,0.0132995566814439,-0.0013798869641763,0.006333122229259,-0.0032193404024075,0.0044331855604813,-0.0047717301863852,0.0037998733375554,-0.0050603801496956,0.0025332488917036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012656428578244,0.0006361323155216,0.0,0.0,0.0,0.0,0.0015502769851551,0.0006357279084551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025309218710372,0.0012714558169103,-0.0025309306063959,0.0012812299807815,-0.001265644501045,0.000639795265515,0.0,0.0,-0.001265643340191,0.0006353240152477,-0.001265641834301,0.0006357279084551,-0.001265641834301,0.0006357279084551,-0.001265641834301,0.0006357279084551,-0.001265641834301,0.0006357279084551,-0.0012656428578244,0.0006361323155216,-0.001265643882652534,0.0006365372374283895
2,0.1235292688078815,0.8439490445859873,0.1200486904856993,0.8491655969191271,0.2186591663788345,0.6340533672172808,0.1627476846956621,0.7391304347826086,0.1164235153542483,0.8267263427109974,0.1715072124209566,0.7233226837060703,0.146677802610985,0.7868538608806637,0.1525142667277095,0.7993589743589744,0.1416004028217809,0.8045016077170418,0.1019207623264759,0.8560411311053985,0.1404516911728202,0.8124598587026333,0.1550788406198607,0.7662007623888183,0.1909395675265709,0.6949481865284974,0.1955406951197487,0.6265903307888041,0.1989412581852328,0.6617647058823529,0.1919191457224058,0.6100829610721124,0.1105505833063622,0.8239795918367347,0.1328133361898773,0.813350615683733,0.0806019560741963,0.8878143133462283,0.1114639774505592,0.8534538411878632,0.1173885673574557,0.8506117192530586,0.1183354172665334,0.834625322997416,0.113032323936693,0.8484848484848485,0.15661166892597,0.3991683991683992,0.1568809570986148,0.3340579710144927,0.1496498333799426,0.3415132924335378,0.14047048307384,0.2939233817701453,0.0998097033358139,0.5113871635610766,0.1376603508563968,0.2785058977719528,0.1154686785814141,0.2473614775725593,0.1614260899003486,0.3087837837837838,0.126519182300099,0.2460262612301313,0.1596253281124733,0.3838245373543523,0.1421359153875796,0.2794819359236537,0.1152262905441096,0.2371064969859343,0.0950265010077847,0.1955555555555555,0.1132477474017272,0.2357237715803453,0.1107182858002373,0.2029972752043596,0.124221023137893,0.2426666666666666,0.0760952417312612,0.8216833095577746,0.1527659738696423,0.3526132404181185,0.1713277918765899,0.3664174031271244,0.1599961486132019,0.3456284153005464,0.1576655835565067,0.3638239339752407,0.1447767457996265,0.3169360505973296,0.1302261718981334,0.2931972789115646
3,0.2546206225680935,0.7,0.2616056934787756,0.6727848101265823,0.3040632617721374,0.5373417721518987,0.2722978935833811,0.6791139240506329,0.2376341477146193,0.7545973367152822,0.2963157329213922,0.6411392405063291,0.2760766157191574,0.6915769474350855,0.2598047395889947,0.7272151898734177,0.3065033994461109,0.5101265822784811,0.2779049857103375,0.6841772151898734,0.2480222914910131,0.7376425855513308,0.261995649775982,0.6670886075949367,0.27596601026542,0.5512658227848102,0.2506895001066673,0.7145569620253165,0.2812945995539271,0.6822784810126582,0.2662622692874448,0.6291139240506329,0.2234938520986009,0.7762237762237763,0.2741187925544488,0.6630778974034199,0.2638203398250731,0.6879746835443038,0.2741318623914828,0.649367088607595,0.2599028230176189,0.6778481012658227,0.2867145298718797,0.6341772151898735,0.291173036251061,0.6221518987341772,0.246017798186811,0.662613981762918,0.2299181531131176,0.6595394736842105,0.2694823700736035,0.5512820512820513,0.1769037785896948,0.3265582655826558,0.2547457916369653,0.5729585006693441,0.2319960482902985,0.4252400548696845,0.255734655626693,0.510958904109589,0.2978156569915197,0.5772634445200817,0.1907065375466032,0.3133245382585752,0.2434897132834676,0.5306267806267806,0.2620128940382288,0.6762797404470079,0.2474025432663329,0.4927219796215429,0.1622103355945409,0.2445302445302445,0.2422456746221892,0.4889484259879437,0.2526460568320448,0.4166117336849044,0.2125157063423604,0.3812709030100334,0.220043615647328,0.5945716709075488,0.2116186058411135,0.7126833477135461,0.2074168291323209,0.7417322834645669,0.2321921372565022,0.662992125984252,0.2229039126183721,0.6886035313001605,0.2183700064475576,0.5483372003093581,0.2197094185935511,0.48521183053557154
4,0.3398834181514331,0.6917721518987342,0.3270999441975697,0.6998100063331222,0.340507466055304,0.6778481012658227,0.3699713998091525,0.6318124207858048,0.3842120474135114,0.6415452818239392,0.3742472859812257,0.6506024096385542,0.3922899396934142,0.6108998732572877,0.3827813961597145,0.6282457251424952,0.3633386595086176,0.6651898734177215,0.3776000006229599,0.6459784673844206,0.3661993706576864,0.6744775174160861,0.3667505590575026,0.6592780240658644,0.3705502676156022,0.6283354510800508,0.3715951375331104,0.4954248366013072,0.3669510187281127,0.5991105463786531,0.3796463234300334,0.5821656050955414,0.3743782226467776,0.5638906547997458,0.3546688491174972,0.6835443037974683,0.3402308891971787,0.7037974683544304,0.3286871969143677,0.714376187460418,0.3286871969143677,0.714376187460418,0.3384600782897017,0.7021546261089987,0.3421029352096473,0.6996197718631179,0.3026053634616298,0.6111859838274932,0.286892784031898,0.6113951789627465,0.3283958344775563,0.6025396825396825,0.2900320735980641,0.5580952380952381,0.2544449084720704,0.6477732793522267,0.2527883136682475,0.6460554371002132,0.2322344746166821,0.6598493003229279,0.3320469618742703,0.6035686578743211,0.3319761158005715,0.5499664654594232,0.3180744018968336,0.5743589743589743,0.2974347198849348,0.6761538461538461,0.274978380804568,0.5864045864045864,0.2609542750699801,0.4827868852459016,0.1873417721518987,0.637883008356546,0.2685618581188557,0.5777777777777777,0.2964192826291416,0.5545302013422819,0.3003757277651387,0.5647058823529412,0.2390801294524454,0.7223719676549866,0.2536554296286657,0.6604255319148936,0.2537204732907129,0.6337552742616034,0.2477053861292608,0.6391489361702127,0.2664827892368314,0.6421052631578947,0.27571666088940344,0.6058238636363636
5,0.4233218205957403,0.5259493670886076,0.4150365930559182,0.5303797468354431,0.4246185631513429,0.4189873417721519,0.4586437845400046,0.5607594936708861,0.426867065500459,0.610126582278481,0.4535026926742165,0.5594936708860759,0.45773718211698,0.5183544303797468,0.4568334471314924,0.5443037974683544,0.4202047631279586,0.5208860759493671,0.4319996846544995,0.5791139240506329,0.4413822429117687,0.529746835443038,0.3932595369855461,0.5272151898734178,0.4138814131792083,0.5417721518987342,0.4347828179366702,0.4943037974683544,0.4466379612960571,0.4759493670886076,0.4238958110128967,0.4879746835443038,0.4002236637566327,0.3886075949367089,0.4249343086428521,0.4645569620253164,0.4120343381912558,0.5158227848101266,0.4248004509114831,0.5170886075949367,0.4233152941326807,0.5151898734177215,0.4153141872761928,0.5221518987341772,0.4236076999508793,0.5069620253164557,0.312896122482496,0.2860759493670886,0.3257329370325114,0.310759493670886,0.3212080811193777,0.2886075949367088,0.3254717301411626,0.2265822784810126,0.3256571690396591,0.2278481012658227,0.3570954839844886,0.2417721518987342,0.2948539281653172,0.1930379746835443,0.3645926111560774,0.2379746835443038,0.3183767700256666,0.2873417721518987,0.3175163111994361,0.290506329113924,0.3107583477199039,0.2626582278481013,0.3338144099672856,0.3120253164556962,0.3220005042502283,0.3031645569620253,0.3725252784167178,0.2569620253164557,0.3026732474565202,0.2177215189873417,0.3201687889511335,0.2360759493670886,0.2976222873166684,0.2462025316455696,0.3103286801117844,0.2955696202531646,0.2930571910292779,0.2949367088607595,0.2851912607677911,0.2867088607594936,0.2817075457796949,0.289873417721519,0.2827385190086521,0.2879746835443038,0.26914242731552673,0.2772151898734177
6,0.0648753698731018,0.9477966101694916,0.0512282328547257,0.9583053127101546,0.0449534222417008,0.9628647214854112,0.0264771557643034,0.9772879091516368,0.0387834304994236,0.968,0.0525730023114272,0.9578313253012049,0.0607290730026796,0.9540306462358428,0.0607408803437772,0.9525401069518716,0.125605653323919,0.9039735099337748,0.0768394289185949,0.9427811044577512,0.1729464736770179,0.8584717607973422,0.2435707587245138,0.7878989361702128,0.1490449384310938,0.8849206349206349,0.1220510113577142,0.9008707300736772,0.1522209076274839,0.8782608695652174,0.1683378175006347,0.8679119412941961,0.2164650961003981,0.803680981595092,0.1627126506272253,0.8606060606060606,0.0826718751939791,0.9344919786096256,0.089084770480471,0.93048128342246,0.1057228759387243,0.9154929577464788,0.097714370763145,0.9202702702702704,0.0806840361287997,0.9329309188464118,0.2437171105124292,0.7489051094890511,0.2354691343144977,0.7714078374455733,0.2567124369146961,0.7588113337940566,0.2269365296583362,0.8017711171662125,0.1861759613918768,0.8445807770961146,0.2667971408075388,0.7595552466990966,0.2091184518195238,0.8177408177408177,0.2633401820682149,0.7735215053763441,0.3106575668235792,0.7001998667554963,0.2515308290640038,0.7536032944406315,0.268483415043853,0.7394557823129252,0.3078698187628,0.6852348993288591,0.2857590988497453,0.6805177111716622,0.2047443223122063,0.7954230235783634,0.2606050772500735,0.7193702943189596,0.3018740116211411,0.6879623402824478,0.2508218728295439,0.7366885485047411,0.2124624892913304,0.7934631432545202,0.241562679899927,0.7653979238754325,0.2266252574867027,0.7622036262203626,0.239620988535737,0.7620689655172413,0.2375931569598244,0.7625698324022346,0.2042273650906644,0.8001464128843339
7,0.1902687298156353,0.7843959731543624,0.1641825038053184,0.8077268643306379,0.1355693037059051,0.7099767981438515,0.138691478984731,0.8562401263823065,0.1329874255347235,0.85099052540913,0.1682385948208771,0.8068481123792801,0.1850081352234645,0.7932232841007819,0.1682947984527471,0.8147527242246437,0.1516749542376807,0.708636836628512,0.1453816656845491,0.7764705882352941,0.1754733558997897,0.7343336275375111,0.0644088624164293,0.8716323296354992,0.1261454889970998,0.789873417721519,0.2126090218642116,0.7331288343558282,0.1675119267118648,0.7876254180602007,0.1151320834398374,0.8461538461538461,0.1625260346062978,0.5078922934076138,0.0976212181996615,0.8703358208955224,0.1045879982012184,0.8900900900900901,0.0900845874338111,0.8938814531548758,0.089386556563688,0.8828571428571429,0.0821312416887531,0.906854130052724,0.0583427148805198,0.944684528954192,0.0438701155751238,0.8176100628930818,0.0411967842182325,0.8132635253054101,0.1048407074953478,0.6967455621301775,0.0944653590112732,0.7865459249676585,0.0892645755676003,0.6954954954954955,0.0698537311190674,0.7473867595818815,0.0916020621646069,0.7650273224043715,0.0641732328754339,0.7642140468227425,0.0353383732986274,0.7200811359026369,0.0295204349399562,0.8290598290598291,0.0353540664051441,0.776595744680851,0.0697946036648518,0.7811634349030471,0.0673983002612153,0.6556603773584906,0.0618461744249739,0.7724719101123596,0.0871285124594264,0.6699507389162561,0.1101375078692358,0.6177739430543572,0.0390224795250101,0.7740667976424361,0.0459727687104501,0.8505025125628141,0.041600827393934,0.7622549019607843,0.0316480113033649,0.839041095890411,0.0321399315286577,0.759090909090909,0.0341235430098641,0.8137154554759468,0.02629531101311985,0.8047138047138047
