Models,P_base Hal,P_base F1,P_base IAA,P1_1 Hal,P1_1 F1,P1_1 IAA,P1_2 Hal,P1_2 F1,P1_2 IAA,P1_3 Hal,P1_3 F1,P1_3 IAA,P1_4 Hal,P1_4 F1,P1_4 IAA,P1_5 Hal,P1_5 F1,P1_5 IAA
1,2,0.4116850919075882,-0.0001818294851554,2.0,0.4271490170250643,-0.0118533433737569,1.0,0.4682680331686264,-0.0170830737058442,1.0,0.4446430853600588,-0.0116704662201814,1.0,0.5040114639483453,-0.0154120697596107,1.0,0.4625613047572671,-0.01717391469609903
2,85,0.6492350617608836,0.3411971253963807,0.0,0.309393016979447,0.0322043338040055,0.0,0.2762633563484199,0.0100287423225658,0.0,0.2827968072111674,0.0139736283468374,0.0,0.2685563625939739,0.0048530962709363,0.0,0.2732399116543127,0.008175682929994932
3,4545,0.3386702404753582,0.1362295515183006,7286.0,0.1935500692344378,0.0425923762856738,100.0,0.4883347014966241,0.1864055170967359,16.0,0.4686277315895572,0.1654765813273871,51.0,0.4353744618983396,0.1366413853862147,188.0,0.42826802289856347,0.13116175067082972
4,0,0.5875243080939522,0.2931305548527635,3959.0,0.3776430101515039,0.1320728183220369,200.0,0.5442456971400926,0.2508659967880544,187.0,0.5240603563703632,0.2287290191824603,228.0,0.4981994151410472,0.2033408070559766,59.0,0.5097002581709537,0.21104551558796592
5,0,0.7305657335579857,0.476028914063591,8.0,0.7698488682458872,0.5331304547021087,0.0,0.6517056325512358,0.3745010992748945,0.0,0.6132143668087554,0.3266241027711403,0.0,0.5257892361340946,0.2274850405986967,0.0,0.5094729505329068,0.21085927553061368
6,135,0.5313135661342299,0.2280926387011348,573.0,0.4087872688532886,0.0178688719223505,186.0,0.3716384494628625,0.0858293873758845,147.0,0.3129455898018296,0.0390004628729867,229.0,0.2766137758328363,0.013861585166043,116.0,0.265970087443962,0.0047312392410605135
7,3948,0.3433934925403339,0.1230240284718519,5056.0,0.4518803759518783,0.3579133606500451,3181.0,0.4216866309133185,0.1959471623934453,3043.0,0.4010971796409674,0.1644062974452718,2626.0,0.3719441927505896,0.1177128777802834,2953.0,0.31280975920624166,0.06361590989463281
8,1971,0.4391759670996749,0.180295295276243,,,,,,,,,,,,,,,
